A217;BG;ALMENNO SAN SALVATORE;;C2AK;BG;BG;BG00;016007;15/01/1885;;
A218;TO;ALMESE;;A1AH;TO;TO;TO60;001006;17/03/1861;;
A220;VI;ALONTE;;D7AD;VI;VI;VI00;024003;19/11/1866;;
A221;TO;ALPETTE;;A1AI;TO;TO;TO40;001007;17/03/1861;;
A222;TO;ALPIGNANO;;A1AJ;TO;TO;TO20;001008;17/03/1861;;
A223;PC;ALSENO;;H6AC;PC;PC;PC00;033002;17/03/1861;;
A224;CO;ALSERIO;;C4AM;CO;CO;CO00;013006;17/03/1861;;
A225;BA;ALTAMURA;;R1AE;BA;BA;BA00;072004;17/03/1861;;
A226;SV;ALTARE;;G4AF;SV;SV;SV00;009005;17/03/1861;;
A227;AL;ALTAVILLA MONFERRATO;;A2AG;AL;AL;AL20;006007;16/02/1863;;
A228;AV;ALTAVILLA IRPINA;;Q2AC;AV;AV;AV00;064002;29/12/1862;;
A229;PA;ALTAVILLA MILICIA;;U1AE;PA;PA;PA00;082004;10/11/1862;;
A230;SA;ALTAVILLA SILENTINA;;Q5AF;SA;SA;SA00;065005;29/12/1862;;
A231;VI;ALTAVILLA VICENTINA;;D7AE;VI;VI;VI00;024004;02/09/1867;;
A233;FM;ALTIDONA;;K2AE;AP;AP;AP10;109001;17/03/1861;;
A234;CS;ALTILIA;;T3AJ;CS;CS;CS00;078008;17/03/1861;;
A235;CH;ALTINO;;N2AB;CH;CH;CH00;069001;17/03/1861;;
A236;VI;ALTISSIMO;;D7AF;VI;VI;VI00;024005;19/11/1866;;
A237;TV;ALTIVOLE;;D5AC;TV;TV;TV00;026001;19/11/1866;;
A238;CN;ALTO;;A4AH;CN;CN;CN20;004005;17/03/1861;;
A239;PA;ALTOFONTE;;U1AF;PA;PA;PA00;082005;17/03/1861;;
A240;CS;ALTOMONTE;;T3AK;CS;CS;CS00;078009;17/03/1861;;
A241;LU;ALTOPASCIO;;I5AB;LU;LU;LU00;046001;22/04/1881;;
A242;TR;ALVIANO;;L2AD;TR;TR;TR00;055003;17/03/1861;;
A243;CE;ALVIGNANO;;Q4AF;CE;CE;CE00;061003;17/03/1861;;
A244;FR;ALVITO;;M2AE;FR;FR;FR00;060004;31/12/1868;;
A245;AL;ALZANO SCRIVIA;;A2AH;AL;AL;AL40;006008;17/03/1861;;
A246;BG;ALZANO LOMBARDO;;C2AL;BG;BG;BG00;016008;07/06/1927;;
A249;CO;ALZATE BRIANZA;;C4AN;CO;CO;CO00;013007;11/03/1864;;
A251;SA;AMALFI;;Q5AG;SA;SA;SA00;065006;17/03/1861;;
A252;FM;AMANDOLA;;K2AF;AP;AP;AP00;109002;17/03/1861;;
A253;CS;AMANTEA;;T3AL;CS;CS;CS00;078010;17/03/1861;;
A254;UD;AMARO;;F6AC;UD;UD;UD00;030002;19/11/1866;;
A255;CZ;AMARONI;;T2AD;CZ;CZ;CZ00;079003;17/03/1861;;
A256;FR;AMASENO;;M2AF;FR;FR;FR00;060005;08/07/1872;;
A257;CZ;AMATO;;T2AE;CZ;CZ;CZ00;079004;17/03/1861;;
A258;RI;AMATRICE;;M4AC;RI;RI;RI00;057002;17/03/1861;;
A259;BG;AMBIVERE;;C2AP;BG;BG;BG00;016009;17/03/1861;;
A261;SP;AMEGLIA;;G3AB;SP;SP;SP10;011001;17/03/1861;;
A262;TR;AMELIA;;L2AE;TR;TR;TR00;055004;30/06/1876;;
A263;CS;AMENDOLARA;;T3AM;CS;CS;CS00;078011;17/03/1861;;
A264;NO;AMENO;;A5AJ;NO;NO;NO00;003002;17/03/1861;;
A265;BN;AMOROSI;;Q3AC;BN;BN;BN00;062002;17/03/1861;;
A266;BL;CORTINA D'AMPEZZO;;D2AE;BL;BL;;025016;16/10/1920;;
A267;UD;AMPEZZO;;F6AD;UD;UD;UD00;030003;19/11/1866;;
A268;NA;ANACAPRI;;Q1AE;NA;NA;NA20;063004;17/03/1861;;
A269;FR;ANAGNI;;M2AG;FR;FR;FR00;060006;15/01/1871;;
A270;TE;ANCARANO;;N4AC;TE;TE;TE00;067002;17/03/1861;;
A271;AN;ANCONA;;K1AA;AN;AN;AN00;042002;17/03/1861;;
A272;CZ;ANDALI;;T2AF;CZ;CZ;CZ00;079005;17/03/1861;;
A273;SO;ANDALO VALTELLINO;;C8AE;SO;SO;SO00;014003;17/03/1861;;
A274;TN;ANDALO;;E1AH;;;;022005;16/10/1920;;
A275;TO;ANDEZENO;;A1AK;TO;TO;TO20;001009;17/03/1861;;
A278;SV;ANDORA;;G4AG;SV;SV;SV10;009006;17/03/1861;;
A280;BI;ANDORNO MICCA;;A6AH;BI;BI;BI00;096002;21/05/1929;;
A281;LE;ANDRANO;;R4AF;LE;LE;LE00;075005;17/03/1861;;
A282;TO;ANDRATE;;A1AL;TO;TO;TO40;001010;17/03/1861;;
A283;PN;ANDREIS;;F5AB;PN;PN;PN00;093001;19/11/1866;;
A284;AV;ANDRETTA;;Q2AD;AV;AV;AV00;064003;17/03/1861;;
A285;BT;ANDRIA;;R1AF;BA;BA;BA10;110001;17/03/1861;;
A286;BZ;ANDRIANO;ANDRIAN;E2AG;;;;021002;16/10/1920;;
A287;SS;ANELA;;V3AE;SS;SS;SS00;090004;17/03/1861;;
A288;BS;ANFO;;C3AI;BS;BS;BS20;017005;17/03/1861;;
A290;VA;ANGERA;;C9AE;VA;VA;VA00;012003;17/03/1861;;
A291;AR;ANGHIARI;;I2AB;AR;AR;AR00;051001;17/03/1861;;
A292;VR;ANGIARI;;D6AD;VR;VR;VR00;023003;19/11/1866;;
A293;BS;ANGOLO TERME;;C3AK;BS;BS;BS10;017006;17/03/1861;;
A294;SA;ANGRI;;Q5AH;SA;SA;SA00;065007;17/03/1861;;
A295;TO;ANGROGNA;;A1AM;TO;TO;TO50;001011;17/03/1861;;
A296;PD;ANGUILLARA VENETA;;D3AE;PD;PD;PD00;028004;21/12/1883;;
A297;RM;ANGUILLARA SABAZIA;;M1AF;RM;RM;RM20;058005;21/10/1872;;
A299;CR;ANNICCO;;C5AG;CR;CR;CR00;019003;17/03/1861;;
A300;AT;CASTELLO DI ANNONE;;A3BC;AT;AT;AL00;005028;16/02/1863;;
A301;LC;ANNONE DI BRIANZA;;C4AP;LC;LC;LC00;097003;23/02/1863;;
A302;VE;ANNONE VENETO;;D1AB;VE;VE;VE00;027001;05/08/1867;;
A303;RC;ANOIA;;T1AD;RC;RC;RC00;080003;17/03/1861;;
A304;BG;ANTEGNATE;;C2AQ;BG;BG;BG00;016010;17/03/1861;;
A305;AO;ANTEY-SAINT-ANDRE';;B1AE;AO;AO;AO00;007002;17/03/1861;;
A306;BZ;ANTERIVO;ALTREI;E2AH;;;;021003;16/10/1920;;
A308;AO;LA MAGDELEINE;;B1BV;AO;AO;AO00;007039;14/08/1883;;
A309;RM;ANTICOLI CORRADO;;M1AG;RM;RM;RM20;058006;15/01/1871;;
A310;FR;FIUGGI;;M2AH;FR;FR;FR00;060035;18/10/1872;;
A312;AT;ANTIGNANO;;A3AD;AT;AT;AT00;005003;08/10/1880;;
A313;ME;ANTILLO;;U6AE;ME;ME;ME00;083004;17/03/1861;;
A314;RC;ANTONIMINA;;T1AE;RC;RC;RC00;080004;17/03/1861;;
A315;RI;ANTRODOCO;;M4AD;RI;RI;RI00;057003;17/03/1861;;
A317;VB;ANTRONA SCHIERANCO;;A5AL;VB;VB;VB00;103001;31/05/1928;;
A318;AQ;ANVERSA DEGLI ABRUZZI;;N1AE;AQ;AQ;AQ00;066004;17/03/1861;;
A319;CO;ANZANO DEL PARCO;;C4AQ;CO;CO;CO00;013009;13/07/1863;;
A320;FG;ANZANO DI PUGLIA;;R3AD;FG;FG;FG00;071003;29/12/1862;;
A321;PZ;ANZI;;S1AE;PZ;PZ;PZ00;076004;17/03/1861;;
A323;RM;ANZIO;;M1AI;RM;RM;RM20;058007;15/01/1871;;
A324;BO;ANZOLA DELL'EMILIA;;H1AB;BO;BO;BO00;037001;23/06/1864;;
A325;VB;ANZOLA D'OSSOLA;;A5AN;VB;VB;VB00;103002;11/03/1864;;
A326;AO;AOSTA;;B1AA;AO;AO;AO00;007003;17/03/1861;;
A327;PU;APECCHIO;;K4AC;PS;PS;PS10;041002;17/03/1861;;
A328;BN;APICE;;Q3AD;BN;BN;BN00;062003;17/03/1861;;
A329;MC;APIRO;;K3AC;MC;MC;MC00;043002;17/03/1861;;
A330;BN;APOLLOSA;;Q3AE;BN;BN;BN00;062004;17/03/1861;;
A332;BZ;APPIANO SULLA STRADA DEL VINO;EPPAN AN DER WEINSTRASSE;E2AJ;;;;021004;16/10/1920;;
A333;CO;APPIANO GENTILE;;C4AR;CO;CO;CO00;013010;19/04/1867;;
A334;MC;APPIGNANO;;K3AD;MC;MC;MC00;043003;17/03/1861;;
A335;AP;APPIGNANO DEL TRONTO;;K2AG;AP;AP;AP00;044005;28/03/1879;;
A337;SO;APRICA;;C8AF;SO;SO;SO00;014004;04/01/1924;;
A338;IM;APRICALE;;G2AC;IM;IM;IM10;008002;17/03/1861;;
A339;FG;APRICENA;;R3AE;FG;FG;FG10;071004;17/03/1861;;
A340;CS;APRIGLIANO;;T3AN;CS;CS;CS00;078012;17/03/1861;;
A341;LT;APRILIA;;M3AB;LT;LT;LT00;059001;25/04/1936;;
A343;SA;AQUARA;;Q5AI;SA;SA;SA00;065008;17/03/1861;;
A344;IM;AQUILA D'ARROSCIA;;G2AD;IM;IM;IM00;008003;10/11/1862;;
A345;AQ;L'AQUILA;;N1AA;AQ;AQ;AQ00;066049;06/05/1863;;
A346;UD;AQUILEIA;;F6AE;UD;UD;;030004;05/01/1921;;
A347;AV;AQUILONIA;;Q2AE;AV;AV;AV00;064004;29/12/1862;;
A348;FR;AQUINO;;M2AI;FR;FR;FR00;060007;17/03/1861;;
A350;LE;ARADEO;;R4AG;LE;LE;LE00;075006;17/03/1861;;
A351;AG;ARAGONA;;U2AC;AG;AG;AG00;084003;18/07/1892;;
A352;AT;ARAMENGO;;A3AE;AT;AT;AT00;005004;17/03/1861;;
A354;PN;ARBA;;F5AC;PN;PN;PN00;093002;19/11/1866;;
A355;NU;TORTOLI';;V2AB;NU;NU;NU00;091095;12/05/1928;;
A357;OR;ARBOREA;;V4AG;OR;OR;OR00;095006;20/02/1931;;
A358;VC;ARBORIO;;A6AJ;VC;VC;VC00;002006;17/03/1861;;
A359;SU;ARBUS;;V1AH;CA;CA;CA00;111001;17/03/1861;;
A360;TV;ARCADE;;D5AD;TV;TV;TV00;026002;19/11/1866;;
A363;FR;ARCE;;M2AJ;FR;FR;FR00;060008;17/03/1861;;
A365;BG;ARCENE;;C2AR;BG;BG;BG00;016011;17/03/1861;;
A366;AN;ARCEVIA;;K1AC;AN;AN;AN00;042003;17/03/1861;;
A367;CH;ARCHI;;N2AC;CH;CH;CH00;069002;17/03/1861;;
A368;OR;SAN NICOLO' D'ARCIDANO;;V4BV;OR;OR;OR00;095046;28/12/1863;;
A369;GR;ARCIDOSSO;;I3AB;GR;GR;GR00;053001;17/03/1861;;
A370;RM;ARCINAZZO ROMANO;;M1AJ;RM;RM;RM20;058008;13/06/1891;;
A371;VA;ARCISATE;;C9AG;VA;VA;VA00;012004;17/03/1861;;
A372;TN;ARCO;;E1AJ;;;;022006;16/10/1920;;
A373;SP;ARCOLA;;G3AC;SP;SP;SP00;011002;07/04/1870;;
A374;VR;ARCOLE;;D6AE;VR;VR;VR00;023004;19/11/1866;;
A375;MI;ARCONATE;;C1AM;MI;MI;MI20;015007;22/07/1869;;
A376;MB;ARCORE;;C1AN;MI;MI;MI20;108004;11/10/1869;;
A377;VI;ARCUGNANO;;D7AG;VI;VI;VI00;024006;19/11/1866;;
A379;SS;ARDARA;;V3AF;SS;SS;SS00;090005;17/03/1861;;
A380;OR;ARDAULI;;V4AH;OR;OR;OR00;095007;17/03/1861;;
A382;SO;ARDENNO;;C8AG;SO;SO;SO00;014005;17/03/1861;;
A383;BG;ARDESIO;;C2AS;BG;BG;BG00;016012;17/03/1861;;
A385;RC;ARDORE;;T1AF;RC;RC;RC00;080005;17/03/1861;;
A386;VV;ARENA;;T2AG;VV;VV;VV00;102002;17/03/1861;;
A387;PV;ARENA PO;;C7AF;PV;PV;PV20;018005;10/08/1863;;
A388;GE;ARENZANO;;G1AC;GE;GE;GE00;010001;17/03/1861;;
A389;MI;ARESE;;C1AP;MI;MI;MI20;015009;17/03/1861;;
A390;AR;AREZZO;;I2AA;AR;AR;AR00;051002;17/03/1861;;
